date,time,x,y,z
20-11-2021 00:00,20:58:04,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:04,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:04,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:04,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:05,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:05,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:05,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:05,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:05,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:05,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:05,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:05,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:05,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:06,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:06,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:06,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:06,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:06,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:06,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:06,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:06,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:07,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:07,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:07,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:07,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:07,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:07,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:07,0,-2.6656,-9.408
20-11-2021 00:00,20:58:07,0,-2.6656,-9.408
20-11-2021 00:00,20:58:07,0,-2.6656,-9.408
20-11-2021 00:00,20:58:08,0,-2.6656,-9.408
20-11-2021 00:00,20:58:08,0,-2.6656,-9.408
20-11-2021 00:00,20:58:08,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:08,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:08,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:08,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:08,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:08,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:09,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:09,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:09,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:09,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:09,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:09,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:09,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:09,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:09,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:10,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:10,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:10,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:10,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:10,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:10,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:10,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:11,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:11,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:11,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:11,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:11,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:11,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:11,0,-2.6656,-9.5648
20-11-2021 00:00,20:58:11,0,-2.6656,-9.5648
20-11-2021 00:00,20:58:12,0,-2.6656,-9.5648
20-11-2021 00:00,20:58:12,0,-2.6656,-9.5648
20-11-2021 00:00,20:58:12,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:12,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:12,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:12,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:12,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:12,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:12,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:13,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:13,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:13,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:13,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:13,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:13,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:13,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:13,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:14,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:14,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:14,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:14,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:14,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:14,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:14,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:14,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:15,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:15,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:15,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:15,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:15,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:15,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:15,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:15,0.1568,-2.5088,-9.7216
20-11-2021 00:00,20:58:16,0.1568,-2.5088,-9.7216
20-11-2021 00:00,20:58:16,0.1568,-2.5088,-9.7216
20-11-2021 00:00,20:58:16,0.1568,-2.5088,-9.7216
20-11-2021 00:00,20:58:16,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:16,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:16,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:16,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:16,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:16,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:17,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:17,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:17,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:17,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:17,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:17,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:17,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:17,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:18,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:18,0,-2.6656,-9.8784
20-11-2021 00:00,20:58:18,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:18,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:18,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:18,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:18,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:18,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:19,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:19,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:19,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:19,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:19,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:19,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:19,0,-2.8224,-9.5648
20-11-2021 00:00,20:58:19,0.1568,-2.5088,-9.7216
20-11-2021 00:00,20:58:19,0.1568,-2.5088,-9.7216
20-11-2021 00:00,20:58:20,0.1568,-2.5088,-9.7216
20-11-2021 00:00,20:58:20,0.1568,-2.5088,-9.7216
20-11-2021 00:00,20:58:20,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:20,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:20,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:20,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:20,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:20,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:21,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:21,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:21,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:21,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:21,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:21,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:21,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:21,0.1568,-2.6656,-9.408
20-11-2021 00:00,20:58:22,0.1568,-2.6656,-9.408
20-11-2021 00:00,20:58:22,0.1568,-2.6656,-9.408
20-11-2021 00:00,20:58:22,0.1568,-2.6656,-9.408
20-11-2021 00:00,20:58:22,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:22,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:22,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:22,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:22,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:22,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:23,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:23,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:23,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:23,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:23,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:23,0,-2.8224,-9.7216
20-11-2021 00:00,20:58:23,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:23,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:23,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:24,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:24,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:24,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:24,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:24,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:24,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:24,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:24,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:25,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:25,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:25,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:25,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:25,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:25,0.3136,-2.8224,-9.7216
20-11-2021 00:00,20:58:25,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:25,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:26,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:26,0.1568,-2.8224,-9.5648
20-11-2021 00:00,20:58:26,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:26,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:26,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:26,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:26,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:26,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:26,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:27,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:27,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:27,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:27,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:27,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:27,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:27,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:27,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:28,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:28,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:28,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:28,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:28,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:28,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:28,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:28,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:29,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:29,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:29,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:29,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:29,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:29,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:29,0.3136,-2.5088,-9.7216
20-11-2021 00:00,20:58:29,0.3136,-2.5088,-9.7216
20-11-2021 00:00,20:58:30,0.3136,-2.5088,-9.7216
20-11-2021 00:00,20:58:30,0.3136,-2.5088,-9.7216
20-11-2021 00:00,20:58:30,0,-2.5088,-10.192
20-11-2021 00:00,20:58:30,0,-2.5088,-10.192
20-11-2021 00:00,20:58:30,0,-2.5088,-10.192
20-11-2021 00:00,20:58:30,0,-2.5088,-10.192
20-11-2021 00:00,20:58:30,0,-2.5088,-10.192
20-11-2021 00:00,20:58:30,0,-2.5088,-10.192
20-11-2021 00:00,20:58:30,0,-2.5088,-10.192
20-11-2021 00:00,20:58:31,0,-2.5088,-10.192
20-11-2021 00:00,20:58:31,0,-2.5088,-10.192
20-11-2021 00:00,20:58:31,0,-2.5088,-10.192
20-11-2021 00:00,20:58:31,0,-2.5088,-10.192
20-11-2021 00:00,20:58:31,0,-2.5088,-10.192
20-11-2021 00:00,20:58:31,0,-2.5088,-10.192
20-11-2021 00:00,20:58:31,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:31,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:32,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:32,0.1568,-2.6656,-9.5648
20-11-2021 00:00,20:58:32,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:32,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:32,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:32,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:32,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:32,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:33,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:33,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:33,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:33,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:33,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:33,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:33,0.1568,-2.8224,-9.7216
20-11-2021 00:00,20:58:33,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:33,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:34,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:34,0.1568,-2.6656,-9.7216
20-11-2021 00:00,20:58:34,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:34,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:34,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:34,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:34,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:34,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:35,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:35,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:35,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:35,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:35,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:35,0.3136,-2.6656,-9.7216
20-11-2021 00:00,20:58:35,0,-2.6656,-9.7216
20-11-2021 00:00,20:58:35,0,-2.6656,-9.7216
20-11-2021 00:00,20:58:36,0,-2.6656,-9.7216
20-11-2021 00:00,20:58:36,0,-2.6656,-9.7216
20-11-2021 00:00,20:58:36,0,-2.6656,-9.7216
20-11-2021 00:00,20:58:36,0,-2.5088,-9.7216
20-11-2021 00:00,20:58:36,0,-2.5088,-9.7216
20-11-2021 00:00,20:58:36,0,-2.5088,-9.7216
20-11-2021 00:00,20:58:36,0,-2.5088,-9.7216
20-11-2021 00:00,20:58:36,0,-2.5088,-9.7216
